INTL_20160320_000001	副本，任務追加進場1次
INTL_20160320_000001	副本，任務追加進場1次
INTL_20160320_000002	點擊滑鼠右鍵時就能夠使用，從對伺服器內所有角色使用的時間點開始，套用60天優惠。{nl}[Token效果]{nl} - 特性技能可以同時修練2個{nl} - 市場販賣手續費率減少(30%{img white_right_arrow 16 16}10%){nl} - 市場販賣登錄道具數量5個{nl} - 角色移動速度增加+3{nl} - 消滅怪物時，經驗值增加+20%{nl}(網咖優惠，可以和經驗之書效果重疊){nl} - 可以使用優惠動作{nl} - 最大BUFF套用數量增加{nl} - 可進行個人交易60次{nl} - 副本、任務追加進場1次		by sean
INTL_20160320_000003	點擊滑鼠右鍵時就能夠使用，從對伺服器內所有角色使用的時間點開始，套用60天優惠。{nl}[Token效果]{nl} - 特性技能可以同時修練2個{nl} - 市場販賣手續費率減少(30%{img white_right_arrow 16 16}10%){nl} - 市場販賣登錄道具數量5個{nl} - 角色移動速度增加+3{nl} - 消滅怪物時，經驗值增加+30%{nl}(網咖優惠，可以和經驗之書效果重疊){nl} - 可以使用優惠動作{nl} - 最大BUFF套用數量增加{nl} - 可進行個人交易60次{nl} - 副本、任務追加進場1次		by sean
INTL_20160323_000004	- 可同時修練2個特性技能{nl} - 市場販賣手續費率減少(30%{img white_right_arrow 16 16}10%){nl} - 市場販賣登錄道具數量5個{nl} - 角色移動速度增加+3{nl} - 副本、任務追加進場1次{nl} - 最大BUFF套用數量增加{nl} - 可以使用優惠動作{nl}
INTL_20160326_000005	點擊滑鼠右鍵時就能夠使用，從對伺服器內所有角色使用的時間點開始，套用60天優惠。{nl}[Token效果]{nl} - 可同時修練2個特性技能{nl} - 市場販賣手續費率減少(30%{img white_right_arrow 16 16}10%){nl} - 市場販賣登錄道具數量5個{nl} - 角色移動速度增加+3{nl} - 消滅怪物時，經驗值增加+20%{nl}(網咖優惠，可以和經驗之書效果重疊){nl} - 可以使用優惠動作{nl} - 最大BUFF套用數量增加{nl} - 可進行個人交易60次
INTL_20160326_000006	VIP：30天
INTL_20160329_000007	魔法賦予卷軸10個寶箱
INTL_20160329_000008	使用時可以獲得魔法賦予卷軸10個。點擊滑鼠右鍵使用。
INTL_20160329_000009	擴聲器10個寶箱
INTL_20160329_000010	使用時可以獲得擴聲器10個。點擊滑鼠右鍵使用。
INTL_20160419_000011	使用並獲得 455 TP.
INTL_20160419_000012	使用並獲得 266 TP.
INTL_20160419_000013	使用並獲得 112 TP.
INTL_20160419_000014	右鍵使用並獲得:{nl} - 455 TP{nl} - Token (60天){nl} - Hair Accessory - Popolion Doll{nl} - Hair Accessory - Hanaming Doll{nl} - Hoglan Companion Voucher{nl} - Stat Reset Potion{nl} - Skill Reset Potion{nl}
INTL_20160419_000015	右鍵使用並獲得:{nl} - 266 TP{nl} - Token (30天){nl} - Hair Accessory - Popolion Doll{nl}
INTL_20160425_000016	從使用的時間點開始對伺服器內所有角色，套用優惠60天。 點擊滑鼠右鍵使用。{nl}[Token效果]{nl} - 立即學習特性{nl} - 拍賣手續費降低 (30% {img white_right_arrow 16 16} 10%){nl} - Able to list up to 5 items on the Market{nl} - 角色移動速度增加+3{nl} - +20% EXP from hunting monsters{nl} - 可以使用優惠動作{nl} - 最大BUFF套用數量增加{nl} - Able to use Personal Trade up to 60 times
INTL_20160425_000017	從使用的時間點開始對伺服器內所有角色，套用優惠30天。 點擊滑鼠右鍵使用。{nl}[Token效果]{nl} - 立即學習特性{nl} - 拍賣手續費降低 (30% {img white_right_arrow 16 16} 10%){nl} - Able to list up to 5 items on the Market{nl} - 角色移動速度增加+3{nl} - 消滅怪物時，經驗值增加+30%{nl} - 可以使用優惠動作{nl} - 最大BUFF套用數量增加{nl} - 可進行個人交易30次{nl} - 副本、任務追加進場1次
INTL_20160425_000018	從使用的時間點開始對伺服器內所有角色，套用優惠60天。 點擊滑鼠右鍵使用。{nl}[Token效果]{nl} - 立即學習特性{nl} - 拍賣手續費降低 (30% {img white_right_arrow 16 16} 10%){nl} - Able to list up to 5 items on the Market{nl} - 角色移動速度增加+3{nl} - 消滅怪物時，經驗值增加+30%{nl} - 可以使用優惠動作{nl} - 最大BUFF套用數量增加{nl} - Able to use Personal Trade up to 60 times{nl} - 副本、任務追加進場1次
INTL_20160426_000019	Grants Token benefits to all your characters in the server for 60 天。 點擊滑鼠右鍵使用。{nl}[Token效果]{nl} - Able to learn up to 2 attributes simultaneously{nl} - 拍賣手續費降低 (30% {img white_right_arrow 16 16} 10%){nl} - Able to list up to 5 items on the Market{nl} - 角色移動速度增加+3 speed{nl} - 消滅怪物時，經驗值增加+30%{nl}(Stacks with the EXP Tome effect){nl} - 可以使用優惠動作{nl} - 最大BUFF套用數量增加{nl} - 可進行個人交易60次{nl}
INTL_20160426_000020	點擊滑鼠右鍵時就能夠使用，從對伺服器內所有角色使用的時間點開始，套用30天優惠。{nl}[Token效果]{nl} - 立即學習特性{nl} - 拍賣手續費降低 (30% {img white_right_arrow 16 16} 10%){nl} - 市場販賣登錄道具數量10個{nl} - 角色移動速度增加+3{nl} - 消滅怪物時，經驗值增加+30%{nl} - 可以使用優惠動作{nl} - 最大BUFF套用數量增加{nl} - 可進行個人交易30次{nl} - 副本、任務追加進場1次
INTL_20160426_000021	Grants Token benefits to all your characters in the server for 60 天。 點擊滑鼠右鍵使用。{nl}[Token效果]{nl} - Able to learn up to 2 attributes simultaneously{nl} - 拍賣手續費降低 (30% {img white_right_arrow 16 16} 10%){nl} - 市場販賣登錄道具數量10個{nl} - 角色移動速度增加+3 speed{nl} - 消滅怪物時，經驗值增加+30%{nl}(Stacks with the EXP Tome effect){nl} - 可以使用優惠動作{nl} - 最大BUFF套用數量增加{nl} - 可進行個人交易60次{nl} - 副本、任務追加進場1次
INTL_20160512_000022	點擊滑鼠右鍵時就能夠使用，可以獲得組合物品。{nl} - 190 TP{nl} - VIP - 活動 (15天){nl} - 高濃縮 HP/SP藥水 20個{nl} - 靈魂水晶 15個{nl} - 擴聲器 15個{nl} - 傳送捲軸 15個{nl}
INTL_20160512_000023	使用並獲得 190 TP.		
INTL_20160512_000024	點擊滑鼠右鍵時就能夠使用，可以獲得組合物品。{nl} - VIP (30天){nl} - 魔法賦予捲軸 X 4{nl} - 副本入場次數重置卷 X 5{nl}
INTL_20160728_000025	從使用的時間點開始對伺服器內所有角色，套用優惠30天。 點擊滑鼠右鍵使用。{nl}[Token效果]{nl} - 立即學習特性{nl} - 拍賣手續費降低 (30% {img white_right_arrow 16 16} 10%){nl} - 市場販賣登錄道具數量10個{nl} - 角色移動速度增加+3{nl} - 消滅怪物時，經驗值增加+30%{nl} - 可以使用優惠動作{nl} - 最大BUFF套用數量增加{nl} - 可進行個人交易30次{nl} - 副本、任務追加進場1次		by sean
INTL_20160728_000026	從使用的時間點開始對伺服器內所有角色，套用優惠60天。 點擊滑鼠右鍵使用。{nl}[Token效果]{nl} - 立即學習特性{nl} - 拍賣手續費降低 (30% {img white_right_arrow 16 16} 10%){nl} - 市場販賣登錄道具數量10個{nl} - 角色移動速度增加+3{nl} - 消滅怪物時，經驗值增加+30%{nl} - 可以使用優惠動作{nl} - 最大BUFF套用數量增加{nl} - 可進行個人交易60次{nl} - 副本、任務追加進場1次		by sean
INTL_20160728_000027	從使用的時間點開始對伺服器內所有角色，套用優惠30天。 點擊滑鼠右鍵使用。{nl}[Token效果]{nl} - 立即學習特性{nl} - 拍賣手續費降低 (30% {img white_right_arrow 16 16} 10%){nl} - 市場販賣登錄道具數量10個{nl} - 角色移動速度增加+3{nl} - 消滅怪物時，經驗值增加+30%{nl} - 可以使用優惠動作{nl} - 最大BUFF套用數量增加{nl} - 可進行個人交易30次{nl} - 副本、任務追加進場1次
INTL_20160728_000028	從使用的時間點開始對伺服器內所有角色，套用優惠7天。 點擊滑鼠右鍵使用。{nl}[Token效果]{nl} - 立即學習特性{nl} - 拍賣手續費降低 (30% {img white_right_arrow 16 16} 10%){nl} - 市場販賣登錄道具數量10個{nl} - 角色移動速度增加+3{nl} - 消滅怪物時，經驗值增加+30%{nl} - 可以使用優惠動作{nl} - 最大BUFF套用數量增加{nl} - 副本、任務追加進場1次			
